"","X","date","price","bathrooms","sqft_living","view","grade","yr_built","yr_renovated","sqft_living15","sqft_lot15","year_sold","month_sold"
"1",0,2014-10-13,221900,1,1180,0,7,1955,0,1340,5650,"2014","10"
"2",1,2014-12-09,538000,2.25,2570,0,7,1951,1991,1690,7639,"2014","12"
"3",2,2015-02-25,180000,1,770,0,6,1933,0,2720,8062,"2015","02"
"4",3,2014-12-09,604000,3,1960,0,7,1965,0,1360,5000,"2014","12"
"5",4,2015-02-18,510000,2,1680,0,8,1987,0,1800,7503,"2015","02"
"6",5,2014-05-12,1225000,4.5,5420,0,11,2001,0,4760,101930,"2014","05"
"7",6,2014-06-27,257500,2.25,1715,0,7,1995,0,2238,6819,"2014","06"
"8",7,2015-01-15,291850,1.5,1060,0,7,1963,0,1650,9711,"2015","01"
"9",8,2015-04-15,229500,1,1780,0,7,1960,0,1780,8113,"2015","04"
"10",9,2015-03-12,323000,2.5,1890,0,7,2003,0,2390,7570,"2015","03"
"11",10,2015-04-03,662500,2.5,3560,0,8,1965,0,2210,8925,"2015","04"
"12",11,2014-05-27,468000,1,1160,0,7,1942,0,1330,6000,"2014","05"
"13",12,2014-05-28,310000,1,1430,0,7,1927,0,1780,12697,"2014","05"
"14",13,2014-10-07,4e+05,1.75,1370,0,7,1977,0,1370,10208,"2014","10"
"15",14,2015-03-12,530000,2,1810,0,7,1900,0,1360,4850,"2015","03"
"16",15,2015-01-24,650000,3,2950,3,9,1979,0,2140,4000,"2015","01"
"17",16,2014-07-31,395000,2,1890,0,7,1994,0,1890,14018,"2014","07"
"18",17,2014-05-29,485000,1,1600,0,7,1916,0,1610,4300,"2014","05"
"19",18,2014-12-05,189000,1,1200,0,7,1921,0,1060,5095,"2014","12"
"20",19,2015-04-24,230000,1,1250,0,7,1969,0,1280,8850,"2015","04"
"21",20,2014-05-14,385000,1.75,1620,0,7,1947,0,1400,4980,"2014","05"
"22",21,2014-08-26,2e+06,2.75,3050,4,9,1968,0,4110,20336,"2014","08"
"23",22,2014-07-03,285000,2.5,2270,0,8,1995,0,2240,7005,"2014","07"
"24",23,2014-05-16,252700,1.5,1070,0,7,1985,0,1220,8386,"2014","05"
"25",24,2014-11-20,329000,2.25,2450,0,8,1985,0,2200,6865,"2014","11"
"26",25,2014-11-03,233000,2,1710,0,6,1941,0,1030,4705,"2014","11"
"27",26,2014-06-26,937000,1.75,2450,0,8,1915,0,1760,3573,"2014","06"
"28",27,2014-12-01,667000,1,1400,0,8,1909,0,1860,3861,"2014","12"
"29",28,2014-06-24,438000,1.75,1520,0,7,1948,0,1520,6235,"2014","06"
"30",29,2015-03-02,719000,2.5,2570,0,8,2005,0,2630,6026,"2015","03"
"31",30,2014-11-10,580500,2.5,2320,0,8,2003,0,2580,3980,"2014","11"
"32",31,2014-12-01,280000,1.5,1190,0,7,2005,0,1390,1756,"2014","12"
"33",32,2014-06-24,687500,1.75,2330,0,7,1929,0,1460,5000,"2014","06"
"34",33,2014-11-10,535000,1,1090,0,8,1929,0,1570,5080,"2014","11"
"35",34,2014-12-03,322500,2.75,2060,0,7,1981,0,2020,8720,"2014","12"
"36",35,2014-06-13,696000,2.5,2300,0,8,1930,2002,1590,3264,"2014","06"
"37",36,2014-05-28,550000,1,1660,0,5,1933,0,2160,11467,"2014","05"
"38",37,2014-12-30,640000,2,2360,0,8,1904,0,1730,4700,"2014","12"
"39",38,2015-02-13,240000,1,1220,0,7,1969,0,1290,7800,"2015","02"
"40",39,2014-06-20,605000,2.5,2620,0,8,1996,0,2620,11884,"2014","06"
"41",40,2014-07-15,625000,2.5,2570,0,9,2000,0,2470,5669,"2014","07"
"42",41,2014-08-11,775000,2.25,4220,0,8,1984,0,2410,30617,"2014","08"
"43",42,2014-07-07,861990,2.75,3595,0,9,2014,0,3625,5639,"2014","07"
"44",43,2014-10-28,685000,1,1570,0,7,1922,0,1580,2640,"2014","10"
"45",44,2014-07-29,309000,1,1280,0,6,1959,0,1340,8808,"2014","07"
"46",45,2014-07-18,488000,2.5,3160,0,8,2003,0,3050,9232,"2014","07"
"47",46,2015-03-25,210490,1,990,0,6,1966,0,1228,8840,"2015","03"
"48",47,2014-07-16,785000,2.5,2290,0,9,1981,0,2680,13685,"2014","07"
"49",48,2015-04-28,450000,1.75,1250,0,7,1953,0,970,5100,"2015","04"
"50",49,2015-03-11,1350000,2.5,2753,2,9,1953,0,2680,72513,"2015","03"
"51",50,2014-09-16,228000,1,1190,0,7,1955,0,1190,9364,"2014","09"
